team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
OGC Nice Côte d'Azur,Nice,2022/2023,France,38,19,19,0,15,7,8,13,7,6,10,5,5,1.53,1.47,1.58,9,11,5,9,48,37,11,85,42,43,24,24,18,19,6,5,71,71,71,93,95,90,11,6,5,20,9,11,11,7,4,17,8,9,193,109,84,57,23,34,52,53,50,520,274,246,235,116,119,285,158,127,374,179,195,25,12,13,22,9,13,3,3,0,11,6,5,16,9,7,11,4,7,1.29,1.42,1.16,2.24,2.21,2.26,1.26,1.26,1.26,0.97,0.95,1,1.24,1.11,1.37,0.66,0.63,0.68,0.58,0.47,0.68,34,25,15,6,3,1,16,12,7,3,2,1,18,13,8,3,1,0,4,13,23,32,35,37,3,7,12,16,17,18,1,6,11,16,18,19,89,66,39,16,8,3,84,63,37,16,11,5,95,68,42,16,5,0,11,34,61,84,92,97,16,37,63,84,89,95,5,32,58,84,95,100,28,14,4,12,6,2,16,8,2,74,37,11,63,32,11,84,42,11,39,37,42,1,29,32,26,53,47,58,29,37,21,45,42,47,19,12,7,50,63,37,21,11,10,55,58,53,8,3,5,21,16,26,29,32,26,42,47,37,29,21,37,5.08,5.74,4.42,1.5,1.21,1.79,89,79,57,39,24,16,5,5,1.62,1.69,1.55,1.48,1.39,1.57,58,7,2,5,7,7,4,5,6,5,5,6,3,4,5,3,1,3,7,34,37,32,26,26,26,5
FC Lorient,Lorient,2022/2023,France,38,19,19,0,15,9,6,10,4,6,13,6,7,1.45,1.63,1.26,10,7,11,10,52,53,-1,105,47,58,26,26,21,32,5,-6,66,66,66,65,81,54,8,5,3,25,11,14,9,6,3,20,10,10,145,68,77,50,27,23,47,46,47,413,205,208,194,105,89,219,100,119,386,196,190,29,16,13,20,7,13,9,9,0,14,9,5,15,7,8,9,3,6,1.5,1.79,1.21,2.76,2.47,3.05,1.37,1.37,1.37,1.39,1.11,1.68,1.29,1.21,1.37,0.76,0.84,0.68,0.53,0.37,0.68,34,29,23,13,3,2,16,14,12,4,1,0,18,15,11,9,2,2,4,9,15,25,35,36,3,5,7,15,18,19,1,4,8,10,17,17,89,76,61,34,8,5,84,74,63,21,5,0,95,79,58,47,11,11,11,24,39,66,92,95,16,26,37,79,95,100,5,21,42,53,89,89,27,16,6,13,8,2,14,8,4,71,42,16,68,42,11,74,42,21,39,47,32,10,21,26,16,66,58,74,24,32,16,53,53,53,22,14,8,58,74,42,18,8,10,47,42,53,9,3,6,24,16,32,37,47,26,39,37,42,24,16,32,3.82,3.58,4.05,1.32,1.42,1.21,82,68,61,42,32,26,18,16,1.20,1.22,1.17,1.82,1.66,1.98,74,9,5,4,7,7,6,2,6,6,3,5,7,3,3,7,11,5,9,26,21,32,34,32,37,5
Racing Club de Lens,Lens,2022/2023,France,38,19,19,0,25,17,8,9,1,8,4,1,3,2.21,2.74,1.68,2,1,4,2,68,29,39,97,54,43,41,27,13,16,28,11,50,42,63,118,132,107,15,8,7,21,10,11,5,1,4,25,16,9,204,103,101,69,28,41,56,55,56,560,277,283,225,119,106,335,158,177,433,242,191,34,19,15,14,5,9,20,14,6,19,11,8,16,7,9,3,1,2,1.92,2.11,1.74,2.55,2.84,2.26,1.79,2.16,1.42,0.76,0.68,0.84,1.26,1.26,1.26,0.89,1,0.79,0.37,0.26,0.47,35,26,21,10,3,1,19,14,13,4,2,1,16,12,8,6,1,0,3,12,17,28,35,37,0,5,6,15,17,18,3,7,11,13,18,19,92,68,55,26,8,3,100,74,68,21,11,5,84,63,42,32,5,0,8,32,45,74,92,97,0,26,32,79,89,95,16,37,58,68,95,100,25,13,9,13,7,4,12,6,5,66,34,24,68,37,21,63,32,26,66,89,42,16,39,42,37,55,53,58,13,5,21,66,84,47,27,14,13,71,74,68,16,7,9,42,37,47,8,4,4,21,21,21,50,58,42,42,37,47,8,5,11,5.37,5.42,5.32,1.82,1.47,2.16,89,79,61,50,26,21,21,16,1.76,1.76,1.75,1.28,1.19,1.38,76,4,6,10,12,5,10,7,6,8,2,2,2,5,5,3,3,2,5,24,5,42,11,5,16,3
Stade de Reims,Reims,2022/2023,France,38,19,19,0,12,8,4,15,6,9,11,5,6,1.34,1.58,1.11,11,8,13,11,45,45,0,90,51,39,28,17,23,22,5,-5,76,61,101,76,74,78,14,7,7,18,10,8,12,4,8,20,13,7,178,94,84,85,39,46,49,49,49,550,314,236,226,128,98,324,186,138,477,224,253,22,15,7,20,9,11,2,6,-4,12,8,4,15,7,8,11,4,7,1.34,1.63,1.05,2.37,2.68,2.05,1.18,1.47,0.89,1.18,1.21,1.16,1.11,1.26,0.95,0.58,0.79,0.37,0.53,0.47,0.58,32,25,17,9,4,3,17,14,10,6,2,2,15,11,7,3,2,1,6,13,21,29,34,35,2,5,9,13,17,17,4,8,12,16,17,18,84,66,45,24,11,8,89,74,53,32,11,11,79,58,37,16,11,5,16,34,55,76,89,92,11,26,47,68,89,89,21,42,63,84,89,95,25,14,3,13,8,3,12,6,0,66,37,8,68,42,16,63,32,0,32,42,21,11,37,37,37,47,53,42,32,21,42,53,68,37,24,13,11,63,68,58,22,8,14,58,42,74,5,4,1,13,21,5,32,42,21,39,37,42,29,21,37,4.68,4.95,4.42,2.24,2.05,2.42,82,71,66,47,26,18,13,11,1.69,1.93,1.45,1.60,1.51,1.69,58,6,2,9,2,4,5,4,2,11,7,3,1,6,5,8,3,4,8,39,32,47,29,26,32,3
AC Ajaccio,Ajaccio,2022/2023,France,38,19,19,0,7,4,3,5,3,2,26,12,14,0.68,0.79,0.58,18,18,18,18,23,74,-51,97,40,57,10,13,30,44,-20,-31,148,170,132,46,57,39,6,5,1,13,4,9,22,13,9,5,2,3,126,62,64,101,48,53,43,45,41,328,178,150,123,64,59,205,114,91,509,241,268,9,5,4,41,17,24,-32,-12,-20,3,2,1,14,8,6,21,9,12,0.61,0.74,0.47,2.55,2.11,3,0.61,0.53,0.68,1.95,1.58,2.32,1.32,1.16,1.47,0.24,0.26,0.21,1.08,0.89,1.26,35,26,20,8,4,2,16,10,7,4,2,1,19,16,13,4,2,1,3,12,18,30,34,36,3,9,12,15,17,18,0,3,6,15,17,18,92,68,53,21,11,5,84,53,37,21,11,5,100,84,68,21,11,5,8,32,47,79,89,95,16,47,63,79,89,95,0,16,32,79,89,95,25,11,7,11,4,3,14,7,4,66,29,18,58,21,16,74,37,21,18,21,16,3,16,26,5,34,21,47,58,68,47,13,11,16,15,9,6,39,47,32,32,17,15,84,89,79,4,1,3,11,5,16,8,11,5,37,42,32,55,47,63,3.32,3.26,3.37,2.66,2.53,2.79,61,50,34,28,24,11,5,3,0.84,0.94,0.75,1.46,1.38,1.55,68,0,1,2,5,2,2,6,1,4,9,10,11,8,5,4,9,7,11,13,16,11,68,63,74,3
Association Jeunesse Auxerroise,Auxerre,2022/2023,France,38,19,19,0,8,5,3,11,7,4,19,7,12,0.92,1.16,0.68,17,17,17,17,35,63,-28,98,46,52,18,17,28,35,-10,-18,98,95,101,54,61,49,7,5,2,22,11,11,11,5,6,12,7,5,135,79,56,59,34,25,43,42,44,459,243,216,164,98,66,295,145,150,452,224,228,17,9,8,30,15,15,-13,-6,-7,7,5,2,16,7,9,15,7,8,0.97,1.16,0.79,2.58,2.42,2.74,0.92,0.95,0.89,1.66,1.47,1.84,1.24,1.26,1.21,0.45,0.47,0.42,0.79,0.79,0.79,36,29,18,9,6,0,17,14,8,5,2,0,19,15,10,4,4,0,2,9,20,29,32,38,2,5,11,14,17,19,0,4,9,15,15,19,95,76,47,24,16,0,89,74,42,26,11,0,100,79,53,21,21,0,5,24,53,76,84,100,11,26,58,74,89,100,0,21,47,79,79,100,28,14,5,14,7,3,14,7,2,74,37,13,74,37,16,74,37,11,21,26,16,7,18,26,11,58,58,58,29,26,32,32,37,26,16,9,7,42,47,37,25,12,13,66,63,68,7,3,4,18,16,21,18,26,11,42,37,47,39,37,42,3.55,4.16,2.95,1.55,1.79,1.32,84,82,66,42,18,13,8,5,1.22,1.35,1.10,1.65,1.42,1.87,76,6,0,4,4,4,4,5,4,4,9,5,5,6,6,9,5,9,9,29,37,21,50,37,63,3
RC Strasbourg Alsace,Strasbourg,2022/2023,France,38,19,19,0,9,5,4,13,7,6,16,7,9,1.05,1.16,0.95,15,16,14,15,51,59,-8,110,51,59,25,26,26,33,-1,-7,67,68,66,58,66,52,6,4,2,27,13,14,6,3,3,16,9,7,143,73,70,83,38,45,46,47,45,464,240,224,202,99,103,262,141,121,517,243,274,28,14,14,34,14,20,-6,0,-6,14,7,7,6,4,2,18,8,10,1.26,1.32,1.21,2.89,2.68,3.11,1.34,1.32,1.37,1.55,1.37,1.74,1.63,1.47,1.79,0.74,0.74,0.74,0.89,0.74,1.05,37,35,21,10,4,2,18,17,10,5,1,0,19,18,11,5,3,2,1,3,17,28,34,36,1,2,9,14,18,19,0,1,8,14,16,17,97,92,55,26,11,5,95,89,53,26,5,0,100,95,58,26,16,11,3,8,45,74,89,95,5,11,47,74,95,100,0,5,42,74,84,89,35,16,7,17,7,3,18,9,4,92,42,18,89,37,16,95,47,21,24,26,21,6,16,21,11,71,68,74,16,16,16,42,47,37,14,9,5,37,47,26,18,8,10,47,42,53,9,4,5,24,21,26,37,37,37,16,21,11,47,42,53,3.76,3.84,3.68,2.18,2,2.37,68,61,55,32,21,13,5,5,1.45,1.47,1.43,1.47,1.37,1.57,74,6,6,6,5,6,6,2,5,9,5,8,5,10,8,7,4,7,5,34,37,32,42,37,47,3
Espérance Sportive Troyes Aube Champagne,Troyes,2022/2023,France,38,19,19,0,4,1,3,12,11,1,22,7,15,0.63,0.74,0.53,19,19,19,19,45,81,-36,126,49,77,19,26,30,51,-11,-25,76,90,66,42,57,34,1,1,0,27,13,14,11,6,5,12,7,5,148,89,59,63,34,29,42,43,42,420,221,199,181,91,90,239,130,109,396,195,201,19,7,12,32,10,22,-13,-3,-10,9,6,3,12,5,7,17,8,9,1.03,1.21,0.84,3.32,2.58,4.05,1.18,1,1.37,2.13,1.58,2.68,1.34,0.89,1.79,0.5,0.37,0.63,0.84,0.53,1.16,37,33,24,20,8,3,18,16,8,7,0,0,19,17,16,13,8,3,1,5,14,18,30,35,1,3,11,12,19,19,0,2,3,6,11,16,97,87,63,53,21,8,95,84,42,37,0,0,100,89,84,68,42,16,3,13,37,47,79,92,5,16,58,63,100,100,0,11,16,32,58,84,31,14,5,14,2,1,17,12,4,82,37,13,74,11,5,89,63,21,11,5,16,6,3,5,0,71,68,74,29,32,26,32,37,26,13,10,3,34,53,16,23,13,10,61,68,53,9,1,8,24,5,42,24,32,16,32,26,37,45,42,47,3.89,4.68,3.11,1.66,1.79,1.53,89,84,74,55,39,28,16,16,1.18,1.23,1.13,1.94,1.88,2.00,79,1,8,4,5,3,4,5,5,10,11,5,6,6,12,9,8,8,16,32,58,5,58,37,79,11
Clermont Foot 63,Clermont,2022/2023,France,38,19,19,0,17,9,8,8,3,5,13,7,6,1.55,1.58,1.53,8,10,6,8,45,49,-4,94,48,46,20,25,28,21,-8,4,76,86,68,70,61,81,10,5,5,21,9,12,10,6,4,17,7,10,155,93,62,78,37,41,48,48,49,407,209,198,181,91,90,226,118,108,367,213,154,18,8,10,27,16,11,-9,-8,-1,10,5,5,15,6,9,13,8,5,1.18,1.11,1.26,2.47,2.53,2.42,1.18,1.05,1.32,1.29,1.47,1.11,1.18,1.26,1.11,0.47,0.42,0.53,0.71,0.84,0.58,35,30,18,7,3,1,18,16,9,4,1,0,17,14,9,3,2,1,3,8,20,31,35,37,1,3,10,15,18,19,2,5,10,16,17,18,92,79,47,18,8,3,95,84,47,21,5,0,89,74,47,16,11,5,8,21,53,82,92,97,5,16,53,79,95,100,11,26,53,84,89,95,28,12,4,15,6,3,13,6,1,74,32,11,79,32,16,68,32,5,45,47,42,-13,26,26,26,55,47,63,26,32,21,45,37,53,19,8,11,50,42,58,23,12,11,61,63,58,6,3,3,16,16,16,26,26,26,39,32,47,34,42,26,4.08,4.89,3.26,2.05,1.95,2.16,71,57,37,26,16,8,5,5,1.02,1.05,1.00,1.51,1.47,1.56,74,3,1,4,7,5,7,6,4,8,3,3,10,7,6,3,6,6,5,21,16,26,34,37,32,3
Stade Brestois 29,Brest,2022/2023,France,38,19,19,0,11,7,4,11,5,6,16,7,9,1.16,1.37,0.95,14,12,15,14,44,54,-10,98,50,48,24,20,26,28,-2,-8,78,71,86,63,66,61,9,6,3,23,11,12,10,4,6,18,8,10,178,99,79,66,31,35,45,47,43,443,234,209,186,100,86,257,134,123,487,224,263,21,12,9,26,17,9,-5,-5,0,9,3,6,18,11,7,11,5,6,1.18,1.05,1.32,2.58,2.63,2.53,1.16,1.26,1.05,1.42,1.37,1.47,1.24,1.53,0.95,0.55,0.63,0.47,0.68,0.89,0.47,34,27,20,10,4,2,17,14,10,4,2,2,17,13,10,6,2,0,4,11,18,28,34,36,2,5,9,15,17,17,2,6,9,13,17,19,89,71,53,26,11,5,89,74,53,21,11,11,89,68,53,32,11,0,11,29,47,74,89,95,11,26,47,79,89,89,11,32,47,68,89,100,25,14,5,13,10,3,12,4,2,66,37,13,68,53,16,63,21,11,29,37,21,7,24,32,16,61,58,63,26,21,32,47,42,53,22,9,13,58,47,68,20,9,11,53,47,58,9,7,2,24,37,11,24,16,32,47,58,37,29,26,32,4.68,5.21,4.16,1.74,1.63,1.84,87,84,63,47,32,24,13,11,1.26,1.34,1.17,1.61,1.40,1.81,71,4,7,2,5,4,6,8,3,5,4,3,6,11,3,8,7,3,9,29,26,32,42,37,47,11
